"acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight"
1,607,"F",141.3,"2020-10-13 16:15:00",2020-10-13,16,10,"2020",287,0.000911458333333333,0,-0.000433664642649018,0.00223560619068433,20.9375,21,3.5,20,"no",30
1,607,"F",141.3,"2020-10-13 16:30:00",2020-10-13,16,10,"2020",287,0,-0.00402347489749832,0,0.0057931245187105,20.9375,21,3.5,20,"no",30
1,331,"M",192,"2020-10-13 16:45:00",2020-10-13,16,10,"2020",287,-0.00989583333333321,0.00989583333333333,0,0.0197916666666665,20.9375,21,3.5,20,"no",41
1,607,"F",141.3,"2020-10-13 16:45:00",2020-10-13,16,10,"2020",287,-0.00361633266906704,-0.000620099301739924,0,0.00478659795066043,20.9375,21,3.5,20,"no",30
1,331,"M",192,"2020-10-13 17:00:00",2020-10-13,17,10,"2020",287,-0.0265732151962621,0.0122620435120435,0.0214158779588467,0.271386247216325,20.9375,21,3,23,"no",41
1,607,"F",141.3,"2020-10-13 17:00:00",2020-10-13,17,10,"2020",287,0.00137767505931569,0,0.0027718673470627,0.00770535074734296,20.9375,21,3,23,"no",30
1,331,"M",192,"2020-10-13 17:15:00",2020-10-13,17,10,"2020",287,-0.00395224350302475,0.00444982534826285,0,0.0115053674623987,20.9375,21,3,23,"no",41
1,607,"F",141.3,"2020-10-13 17:15:00",2020-10-13,17,10,"2020",287,-0.000942121572004385,0,0.00206080811549558,0.00722762751571342,20.9375,21,3,23,"no",30
1,331,"M",192,"2020-10-13 17:30:00",2020-10-13,17,10,"2020",287,0.000864155917866843,0,0,0.00216623925120016,20.9375,21,3,23,"no",41
1,607,"F",141.3,"2020-10-13 17:30:00",2020-10-13,17,10,"2020",287,0,0,0,0,20.9375,21,3,23,"no",30
1,331,"M",192,"2020-10-13 17:45:00",2020-10-13,17,10,"2020",287,0,0.00205535837860057,0,0.00544077504526724,20.9375,21,3,23,"no",41
1,607,"F",141.3,"2020-10-13 17:45:00",2020-10-13,17,10,"2020",287,-0.00677893070471196,-0.0014439201206779,0.00337194001744787,0.0212644831297175,20.9375,21,3,23,"no",30
1,331,"M",192,"2020-10-13 18:00:00",2020-10-13,18,10,"2020",287,0.00182472150245594,0,0,0.00573097150245588,20.9375,21,3.5,26.5,"no",41
1,607,"F",141.3,"2020-10-13 18:00:00",2020-10-13,18,10,"2020",287,0.000823186687444499,-9.91819595335119e-05,0,0.00424018798042236,20.9375,21,3.5,26.5,"no",30
1,331,"M",192,"2020-10-13 18:15:00",2020-10-13,18,10,"2020",287,-0.00185573432643746,0,0,0.00651110499743315,20.9375,21,3.5,26.5,"no",41
1,607,"F",141.3,"2020-10-13 18:15:00",2020-10-13,18,10,"2020",287,-0.00397440558573371,-0.000776599702380948,0.00147807921245424,0.00863793866723552,20.9375,21,3.5,26.5,"no",30
1,331,"M",192,"2020-10-13 18:30:00",2020-10-13,18,10,"2020",287,-0.00135243716786684,-0.00084635416666666,0.00020308738570457,0.00481145915716227,20.9375,21,3.5,26.5,"no",41
1,607,"F",141.3,"2020-10-13 18:30:00",2020-10-13,18,10,"2020",287,-0.000587365650842218,0.00187750888434482,-0.00393901888042514,0.0171263523802586,20.9375,21,3.5,26.5,"no",30
1,331,"M",192,"2020-10-13 18:45:00",2020-10-13,18,10,"2020",287,-0.000294494459533501,4.57767059329484e-05,0.00346832258453356,0.0108412962905151,20.9375,21,3.5,26.5,"no",41
1,607,"F",141.3,"2020-10-13 18:45:00",2020-10-13,18,10,"2020",287,0,0.0016865323261808,0,0.00322418195953353,20.9375,21,3.5,26.5,"no",30
