species,new.recapture,turtle.ID,pit.tag,date,sex,cl,pl,wt,hw,tl,leech,acce.roundNo,acce.startDate,acce.startTime,acce.delayTime.d,acce.samplRate.Hz,acce.samplInterval.s,acce.sleepInterval.m,acce.batteryCap.mAh,acce.estLifespan.d,acce.estEndTime,acce.estEndTime,acce.netWeight,transmitterFreq,filename
PLME,New,607,0007D5EEA4,3-Oct-20,F,141.3,124.1,635,NA,NA,0,1,4-Oct-20,4/10/2020 22:20,7,15,10,15,290,20.14,1-Nov-20,1/11/2020 1:40,30,173.424,data/accelerometer/20201003-round1/PLME_607F_acceleration_logfile_data_20201004.csv
PLME,Recapture,331,3D6.000BAF3300,3-Oct-20,M,192,141.2,1150,NA,NA,0,1,3-Oct-20,3/10/2020 16:30,10,15,10,15,500,34.72,17-Nov-20,17/11/2020 9:50,41,172.194,data/accelerometer/20201003-round1/PLME_3D6.000BAF3300M_acceleration_logfile_data_20201003.csv
PLME,Recapture,531,0007A31599,3-Oct-20,F,134,104.7,470,NA,NA,0,1,4-Oct-20,4/10/2020 17:20,10,15,10,15,290,20.14,3-Nov-20,3/11/2020 20:40,24,172.754,data/accelerometer/20201003-round1/PLME_531F_acceleration_logfile_data_20201004.csv
PLME,Recapture,471,0007A32861,3-Oct-20,M,161.4,130.2,790,NA,NA,0,1,4-Oct-20,4/10/2020 20:45,10,15,10,15,290,20.14,4-Nov-20,4/11/2020 0:05,34,172.014,data/accelerometer/20201003-round1/PLME_471M_acceleration_logfile_data_20201004.csv
PLME,Recapture,529,7A318F7,18-Aug-21,F,135.4,111.9,465,44.3,121.7,0,2,19-Aug-21,19/8/2021 20:20,10,15,15,15,290,13.43,12-Sep-21,12/9/2021 6:33,30,173.424,data/accelerometer/20210818-round2/PLME_529F_acceleration_logfile_data_20210819.csv
PLME,Recapture,607,7D5EEA4,18-Aug-21,F,145.5,122.7,621,51.9,145.5,0,2,20-Aug-21,20/8/2021 12:40,10,15,15,15,290,13.43,12-Sep-21,12/9/2021 22:53,30,172.014,data/accelerometer/20210818-round2/PLME_607F_acceleration_logfile_data_20210820.csv
PLME,Recapture,531,7A31599,18-Aug-21,F,132.5,102.9,438,42,127,0,2,19-Aug-21,19/8/2021 20:20,10,15,15,15,290,13.43,12-Sep-21,12/9/2021 6:33,30,172.754,data/accelerometer/20210818-round2/PLME_531F_acceleration_logfile_data_20210819.csv
PLME,Recapture,216,3D9.1C2D4477C2,18-Aug-21,M,179,136.4,1021,66.3,155,0,2,19-Aug-21,19/8/2021 20:20,10,15,15,15,500,23.15,21-Sep-21,21/9/2021 23:53,47,172.174,data/accelerometer/20210818-round2/PLME_3D9.1C2D4477C2_acceleration_logfile_data_20210819.csv
PLME,Recapture,349,74B13AE,18-Aug-21,F,143,119.8,485,50.3,142,0,2,19-Aug-21,19/8/2021 20:20,10,15,15,15,290,13.43,12-Sep-21,12/9/2021 6:33,30,172.194,data/accelerometer/20210818-round2/PLME_74B13AE_acceleration_logfile_data_20210819.csv
PLME,Recapture,300,74B2AA2,18-Aug-21,M,179.1,142.4,1109,65.1,157,0,2,19-Aug-21,19/8/2021 20:20,10,15,15,15,500,23.15,21-Sep-21,21/9/2021 23:53,48,172.204,data/accelerometer/20210818-round2/PLME_300M_acceleration_logfile_data_20210819.csv
PLME,Recapture,531,7A31599,2-Apr-22,F,133.1,103.1,456,40.7,120,0,3,4-Apr-22,4/4/2022 12:50,10,15,15,15,290,13.43,27-Apr-22,27/4/2022 23:03,29,172.522,
PLME,Recapture,216,3D9.1C2D4477C2,2-Apr-22,M,180,136.8,1042,65.1,150,0,3,4-Apr-22,4/4/2022 12:20,10,15,15,15,500,23.15,7-May-22,7/5/2022 15:53,39,172.204,NA
PLME,Recapture,333,3D6.000BAF333F,2-Apr-22,F,141.9,115.2,589,48,125,0,3,4-Apr-22,4/4/2022 12:00,10,15,15,15,290,13.43,27-Apr-22,27/4/2022 22:13,30,172.429,NA
PLME,Recapture,331,3D6.000BAF3300,2-Apr-22,M,188.2,140.7,1098,68.1,155,0,3,4-Apr-22,4/4/2022 12:30,10,15,15,15,500,23.15,7-May-22,7/5/2022 16:03,42,172.175,data/accelerometer/20220404-round3/PLME_3D6.000BAF3300M_acceleration_logfile_data_20220404.csv
PLME,Recapture,349,74B13AE,2-Apr-22,F,142.9,120.5,499,50.2,140,0,3,4-Apr-22,4/4/2022 12:00,10,15,15,15,290,13.43,27-Apr-22,27/4/2022 22:13,30,173.424,NA
