"date","rainfall"
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,1.5
2018-01-06,8.5
2018-01-07,18
2018-01-08,12
2018-01-09,10
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,2
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,1
2018-01-27,0.5
2018-01-28,0
2018-01-29,3
2018-01-30,2
2018-01-31,21
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,1
2018-02-22,7
2018-02-23,3
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0.5
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,1
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,16
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,2.5
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0.5
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,0
2018-03-24,0.5
2018-03-25,0.5
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,0
2018-04-13,0
2018-04-14,0
2018-04-15,NA
2018-04-16,7
2018-04-17,3
2018-04-18,0
2018-04-19,0
2018-04-20,0
2018-04-21,0
2018-04-22,0
2018-04-23,0
2018-04-24,5
2018-04-25,0.5
2018-04-26,3
2018-04-27,4.5
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,0
2018-05-03,2
2018-05-04,2
2018-05-05,0
2018-05-06,7
2018-05-07,34.5
2018-05-08,4
2018-05-09,15
2018-05-10,0.5
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0.5
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-02,0
2018-06-03,0
2018-06-04,3
2018-06-05,55.5
2018-06-06,152
2018-06-07,126.5
2018-06-08,87
2018-06-09,15.5
2018-06-10,0
2018-06-11,0
2018-06-12,25.5
2018-06-13,62.5
2018-06-14,3
2018-06-15,0
2018-06-16,0
2018-06-17,0
2018-06-18,0
2018-06-19,2
2018-06-20,0
2018-06-21,0
2018-06-22,74.5
2018-06-23,27
2018-06-24,15.5
2018-06-25,17.5
2018-06-26,4
2018-06-27,5.5
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,0
2018-07-02,33
2018-07-03,3
2018-07-04,8
2018-07-05,14
2018-07-06,0
2018-07-07,0
2018-07-08,4
2018-07-09,7.5
2018-07-10,8
2018-07-11,0
2018-07-12,0.5
2018-07-13,52
2018-07-14,56.5
2018-07-15,56.5
2018-07-16,4
2018-07-17,24
2018-07-18,44.5
2018-07-19,4.5
2018-07-20,4.5
2018-07-21,0
2018-07-22,0
2018-07-23,39
2018-07-24,2
2018-07-25,0.5
2018-07-26,5.5
2018-07-27,3.5
2018-07-28,0
2018-07-29,NA
2018-07-30,0
2018-07-31,0
2018-08-01,0
2018-08-02,12
2018-08-03,0
2018-08-04,7.5
2018-08-05,6
2018-08-06,0
2018-08-07,0
2018-08-08,18
2018-08-09,0
2018-08-10,40
2018-08-11,83
2018-08-12,92.5
2018-08-13,0
2018-08-14,45.5
2018-08-15,13.5
2018-08-16,11.5
2018-08-17,18.5
2018-08-18,0
2018-08-19,36
2018-08-20,6.5
2018-08-21,0.5
2018-08-22,65.5
2018-08-23,6.5
2018-08-24,0
2018-08-25,0
2018-08-26,9
2018-08-27,NA
2018-08-28,49.5
2018-08-29,NA
2018-08-30,NA
2018-08-31,NA
2018-09-01,NA
2018-09-02,1
2018-09-03,2
2018-09-04,0
2018-09-05,1
2018-09-06,5
2018-09-07,0
2018-09-08,0.5
2018-09-09,1
2018-09-10,0.5
2018-09-11,0
2018-09-12,1
2018-09-13,7
2018-09-14,0
2018-09-15,0
2018-09-16,NA
2018-09-17,NA
2018-09-18,NA
2018-09-19,NA
2018-09-20,NA
2018-09-21,NA
2018-09-22,NA
2018-09-23,NA
2018-09-24,NA
2018-09-25,NA
2018-09-26,NA
2018-09-27,NA
2018-09-28,NA
2018-09-29,0
2018-09-30,0
2018-10-01,1.5
2018-10-02,0
2018-10-03,0
2018-10-04,NA
2018-10-05,0
2018-10-06,0
2018-10-07,0
2018-10-08,0
2018-10-09,NA
2018-10-10,NA
2018-10-11,0
2018-10-12,0.5
2018-10-13,NA
2018-10-14,0
2018-10-15,0.5
2018-10-16,7.5
2018-10-17,3
2018-10-18,18
2018-10-19,0.5
2018-10-20,0
2018-10-21,2
2018-10-22,0.5
2018-10-23,0
2018-10-24,3
2018-10-25,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,0
2018-10-31,0
2018-11-01,0
2018-11-02,0
2018-11-03,2.5
2018-11-04,1
2018-11-05,0
2018-11-06,0
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-10,0
2018-11-11,0
2018-11-12,NA
2018-11-13,NA
2018-11-14,0
2018-11-15,0
2018-11-16,0
2018-11-17,3
2018-11-18,0
2018-11-19,0
2018-11-20,0.5
2018-11-21,0
2018-11-22,0
2018-11-23,0
2018-11-24,0
2018-11-25,28
2018-11-26,14.5
2018-11-27,8
2018-11-28,11
2018-11-29,0
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,2
2018-12-08,0.5
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,NA
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0.5
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-23,14
2018-12-24,3
2018-12-25,0.5
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0.5
2019-01-03,1.5
2019-01-04,0.5
2019-01-05,0.5
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,0
2019-01-10,0
2019-01-11,0
2019-01-12,0
2019-01-13,0.5
2019-01-14,0
2019-01-15,6
2019-01-16,0
2019-01-17,0
2019-01-18,0
2019-01-19,0
2019-01-20,0
2019-01-21,0
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,0
2019-01-26,0
2019-01-27,0
2019-01-28,0
2019-01-29,0
2019-01-30,0
2019-01-31,0
2019-02-01,0
2019-02-02,0
2019-02-03,0
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,0
2019-02-11,0.5
2019-02-12,1.5
2019-02-13,0
2019-02-14,0.5
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,31.5
2019-02-19,17
2019-02-20,4
2019-02-21,1
2019-02-22,4
2019-02-23,11
2019-02-24,3
2019-02-25,0.5
2019-02-26,1
2019-02-27,0
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,6
2019-03-04,5
2019-03-05,30
2019-03-06,26
2019-03-07,34.5
2019-03-08,7.5
2019-03-09,8
2019-03-10,7
2019-03-11,4
2019-03-12,0
2019-03-13,0
2019-03-14,7.5
2019-03-15,1
2019-03-16,0
2019-03-17,0
2019-03-18,0
2019-03-19,0
2019-03-20,0
2019-03-21,0
2019-03-22,0
2019-03-23,3.5
2019-03-24,2.5
2019-03-25,1.5
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,1.5
2019-03-30,0
2019-03-31,0
2019-04-01,NA
2019-04-02,NA
2019-04-03,0
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,4.5
2019-04-12,8.5
2019-04-13,0.5
2019-04-14,13.5
2019-04-15,0.5
2019-04-16,12
2019-04-17,0
2019-04-18,8.5
2019-04-19,90.5
2019-04-20,43
2019-04-21,1
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,11
2019-04-28,4.5
2019-04-29,0
2019-04-30,1
2019-05-01,0.5
2019-05-02,NA
2019-05-03,NA
2019-05-04,NA
2019-05-05,NA
2019-05-06,NA
2019-05-07,NA
2019-05-08,NA
2019-05-09,NA
2019-05-10,0.5
2019-05-11,0.5
2019-05-12,0
2019-05-13,0.5
2019-05-14,1
2019-05-15,0.5
2019-05-16,0.5
2019-05-17,0
2019-05-18,0.5
2019-05-19,0
2019-05-20,NA
2019-05-21,NA
2019-05-22,0
2019-05-23,0
2019-05-24,0
2019-05-25,0
2019-05-26,NA
2019-05-27,NA
2019-05-28,NA
2019-05-29,NA
2019-05-30,NA
2019-05-31,15.5
2019-06-01,14
2019-06-02,3.5
2019-06-03,18
2019-06-04,4
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0
2019-06-09,0.5
2019-06-10,10
2019-06-11,72.5
2019-06-12,3
2019-06-13,28.5
2019-06-14,5
2019-06-15,0
2019-06-16,0
2019-06-17,7.5
2019-06-18,4
2019-06-19,2.5
2019-06-20,5.5
2019-06-21,0
2019-06-22,5.5
2019-06-23,7.5
2019-06-24,33
2019-06-25,25
2019-06-26,5
2019-06-27,0
2019-06-28,0.5
2019-06-29,45.5
2019-06-30,70.5
2019-07-01,0.5
2019-07-02,9.5
2019-07-03,51
2019-07-04,31
2019-07-05,4
2019-07-06,0
2019-07-07,4
2019-07-08,4.5
2019-07-09,5
2019-07-10,14.5
2019-07-11,16
2019-07-12,0.5
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,15.5
2019-07-19,9
2019-07-20,22
2019-07-21,0
2019-07-22,3
2019-07-23,0
2019-07-24,1
2019-07-25,0
2019-07-26,0
2019-07-27,0
2019-07-28,47.5
2019-07-29,1.5
2019-07-30,6.5
2019-07-31,164
2019-08-01,94
2019-08-02,36.5
2019-08-03,11
2019-08-04,0
2019-08-05,0
2019-08-06,9
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0.5
2019-08-16,1
2019-08-17,3
2019-08-18,13.5
2019-08-19,18
2019-08-20,0
2019-08-21,3.5
2019-08-22,0
2019-08-23,9
2019-08-24,0
2019-08-25,72
2019-08-26,94.5
2019-08-27,5.5
2019-08-28,0
2019-08-29,5.5
2019-08-30,25.5
2019-08-31,34.5
2019-09-01,23.5
2019-09-02,94.5
2019-09-03,11.5
2019-09-04,23
2019-09-05,20.5
2019-09-06,0
2019-09-07,5.5
2019-09-08,13.5
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
2019-09-14,0
2019-09-15,4
2019-09-16,0.5
2019-09-17,11
2019-09-18,3
2019-09-19,4.5
2019-09-20,0
2019-09-21,0
2019-09-22,0
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,0
2019-10-01,0
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,29.5
2019-10-07,29
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,2.5
2019-10-13,6
2019-10-14,6
2019-10-15,5
2019-10-16,0.5
2019-10-17,0
2019-10-18,0.5
2019-10-19,0
2019-10-20,0.5
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,0
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0.5
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0.5
2019-12-20,0.5
2019-12-21,0.5
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,9
2019-12-30,0
2019-12-31,1
2020-01-01,0.5
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1.5
2020-01-25,8.5
2020-01-26,30
2020-01-27,0.5
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0.5
2020-02-04,4
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0.5
2020-02-10,0
2020-02-11,3
2020-02-12,0
2020-02-13,17.5
2020-02-14,13
2020-02-15,1.5
2020-02-16,10.5
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0.5
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,4
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,5.5
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,14
2020-03-19,5.5
2020-03-20,0.5
2020-03-21,1
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,2.5
2020-03-27,1
2020-03-28,5
2020-03-29,3
2020-03-30,6
2020-03-31,4.5
2020-04-01,1
2020-04-02,0
2020-04-03,1.5
2020-04-04,5.5
2020-04-05,10
2020-04-06,32.5
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,3
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,14.5
2020-04-23,3
2020-04-24,4
2020-04-25,1
2020-04-26,0.5
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0.5
2020-05-09,0
2020-05-10,8
2020-05-11,27
2020-05-12,0.5
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,11.5
2020-05-19,0
2020-05-20,8
2020-05-21,88.5
2020-05-22,NA
2020-05-23,1.5
2020-05-24,0
2020-05-25,25
2020-05-26,0
2020-05-27,1.5
2020-05-28,2
2020-05-29,0
2020-05-30,101.5
2020-05-31,0.5
2020-06-01,2
2020-06-02,10.5
2020-06-03,0
2020-06-04,0
2020-06-05,1
2020-06-06,150.5
2020-06-07,130.5
2020-06-08,69
2020-06-09,4
2020-06-10,0.5
2020-06-11,0
2020-06-12,0
2020-06-13,16
2020-06-14,23
2020-06-15,1.5
2020-06-16,6.5
2020-06-17,0.5
2020-06-18,0.5
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0.5
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,3
2020-06-27,0
2020-06-28,0
2020-06-29,0.5
2020-06-30,0
2020-07-01,10
2020-07-02,12.5
2020-07-03,9
2020-07-04,2
2020-07-05,8.5
2020-07-06,10.5
2020-07-07,19.5
2020-07-08,0
2020-07-09,0
2020-07-10,1
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,1.5
2020-07-17,0
2020-07-18,0
2020-07-19,0.5
2020-07-20,0
2020-07-21,0
2020-07-22,0.5
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,3
2020-07-29,22
2020-07-30,0.5
2020-07-31,42
2020-08-01,47.5
2020-08-02,46
2020-08-03,39.5
2020-08-04,5.5
2020-08-05,47.5
2020-08-06,5
2020-08-07,NA
2020-08-08,NA
2020-08-09,NA
2020-08-10,NA
