Date,hour,Rainfall (mm)
20180101,1,0
20180101,2,0.0*
20180101,3,0.0*
20180101,4,0.0*
20180101,5,0
20180101,6,0
20180101,7,0
20180101,8,0
20180101,9,0
20180101,10,0
20180101,11,0
20180101,12,0
20180101,13,0
20180101,14,0
20180101,15,0
20180101,16,0
20180101,17,0
20180101,18,0
20180101,19,0
20180101,20,0
20180101,21,0
20180101,22,0
20180101,23,0
20180101,24,0
20180102,1,0
20180102,2,0
20180102,3,0
20180102,4,0
20180102,5,0
20180102,6,0
20180102,7,0
20180102,8,0
20180102,9,0
20180102,10,0
20180102,11,0
20180102,12,0
20180102,13,0
20180102,14,0
20180102,15,0
20180102,16,0
20180102,17,0
20180102,18,0
20180102,19,0
20180102,20,0
20180102,21,0
20180102,22,0
20180102,23,0
20180102,24,0
20180103,1,0
20180103,2,0
20180103,3,0
20180103,4,0.0*
20180103,5,0
20180103,6,0
20180103,7,0
20180103,8,0
20180103,9,0
20180103,10,0
20180103,11,0
20180103,12,0
20180103,13,0
20180103,14,0
20180103,15,0
20180103,16,0
20180103,17,0
20180103,18,0
20180103,19,0
20180103,20,0
20180103,21,0
20180103,22,0
20180103,23,0
20180103,24,0
20180104,1,0
20180104,2,0
20180104,3,0.0*
20180104,4,0
20180104,5,0
20180104,6,0
20180104,7,0
20180104,8,0
20180104,9,0
20180104,10,0
20180104,11,0
20180104,12,0
20180104,13,0
20180104,14,0
20180104,15,0
20180104,16,0
20180104,17,0
20180104,18,0
20180104,19,0
20180104,20,0
20180104,21,0
20180104,22,0
20180104,23,0
20180104,24,0
20180105,1,0
20180105,2,0
20180105,3,0
20180105,4,0
20180105,5,0
20180105,6,0
20180105,7,0
20180105,8,0
20180105,9,0
20180105,10,0
20180105,11,0
20180105,12,0
20180105,13,0
20180105,14,0
20180105,15,0
20180105,16,0
20180105,17,0
20180105,18,0.5
20180105,19,0
20180105,20,0
20180105,21,0
20180105,22,0
20180105,23,0.5
20180105,24,0.5
20180106,1,0
20180106,2,0
20180106,3,0.5
20180106,4,0
20180106,5,0
20180106,6,0
20180106,7,0.5
20180106,8,0.5
20180106,9,0
20180106,10,0.5
20180106,11,0
20180106,12,0
20180106,13,0
20180106,14,0
20180106,15,0
20180106,16,0
20180106,17,0
20180106,18,0.5
20180106,19,0
20180106,20,0.5
20180106,21,2
20180106,22,1.5
20180106,23,0.5
20180106,24,1.5*
20180107,1,1.5
20180107,2,1
20180107,3,0.5
20180107,4,2
20180107,5,4
20180107,6,1
20180107,7,2
20180107,8,3
20180107,9,1
20180107,10,0.5
20180107,11,0
20180107,12,0
20180107,13,0
20180107,14,0
20180107,15,0
20180107,16,0
20180107,17,0
20180107,18,0
20180107,19,0
20180107,20,0
20180107,21,0
20180107,22,1.5
20180107,23,0
20180107,24,0
20180108,1,0
20180108,2,0
20180108,3,0
20180108,4,0
20180108,5,0
20180108,6,0
20180108,7,0
20180108,8,0
20180108,9,1
20180108,10,0.5
20180108,11,1
20180108,12,0.5
20180108,13,1
20180108,14,0
20180108,15,0
20180108,16,0.5
20180108,17,0
20180108,18,0
20180108,19,0.5
20180108,20,1
20180108,21,1.5
20180108,22,3.5
20180108,23,0
20180108,24,1
20180109,1,1.5
20180109,2,1
20180109,3,5
20180109,4,0
20180109,5,0
20180109,6,0
20180109,7,0
20180109,8,0
20180109,9,0
20180109,10,0.5
20180109,11,1
20180109,12,1
20180109,13,0
20180109,14,0
20180109,15,0
20180109,16,0
20180109,17,0
20180109,18,0
20180109,19,0
20180109,20,0
20180109,21,0
20180109,22,0
20180109,23,0.0*
20180109,24,0.0*
20180110,1,0.0*
20180110,2,0
20180110,3,0
20180110,4,0
20180110,5,0
20180110,6,0
20180110,7,0
20180110,8,0
20180110,9,0
20180110,10,0
20180110,11,0
20180110,12,0
20180110,13,0
20180110,14,0
20180110,15,0
20180110,16,0
20180110,17,0
20180110,18,0
20180110,19,0
20180110,20,0
20180110,21,0
20180110,22,0
20180110,23,0
20180110,24,0
20180111,1,0
20180111,2,0
20180111,3,0.0*
20180111,4,0
20180111,5,0
20180111,6,0
20180111,7,0
20180111,8,0
20180111,9,0
20180111,10,0
20180111,11,0
20180111,12,0
20180111,13,0
20180111,14,0
20180111,15,0
20180111,16,0
20180111,17,0
20180111,18,0
20180111,19,0
20180111,20,0
20180111,21,0
20180111,22,0
20180111,23,0
20180111,24,0
20180112,1,0
20180112,2,0
20180112,3,0
20180112,4,0
20180112,5,0
20180112,6,0
20180112,7,0
20180112,8,0.0*
20180112,9,0
20180112,10,0
20180112,11,0
20180112,12,0
20180112,13,0
20180112,14,0
20180112,15,0
20180112,16,0
20180112,17,0
20180112,18,0
20180112,19,0
20180112,20,0
20180112,21,0
20180112,22,0
20180112,23,0
20180112,24,0
20180113,1,0
20180113,2,0
20180113,3,0
20180113,4,0
20180113,5,0
20180113,6,0
20180113,7,0
20180113,8,0
20180113,9,0
20180113,10,0
20180113,11,0
20180113,12,0.0*
20180113,13,0
20180113,14,0
20180113,15,0
20180113,16,0
20180113,17,0
20180113,18,0
20180113,19,0
20180113,20,0
20180113,21,0
20180113,22,0
20180113,23,0
20180113,24,0
20180114,1,0
20180114,2,0
20180114,3,0
20180114,4,0
20180114,5,0
20180114,6,0
20180114,7,0
20180114,8,0
20180114,9,0
20180114,10,0
20180114,11,0
20180114,12,0
20180114,13,0
20180114,14,0
20180114,15,0
20180114,16,0
20180114,17,0
20180114,18,0
20180114,19,0
20180114,20,0
20180114,21,0
20180114,22,0
20180114,23,0
20180114,24,0
20180115,1,0
20180115,2,0
20180115,3,0
20180115,4,0
20180115,5,0
20180115,6,0
20180115,7,0
20180115,8,0
20180115,9,0
20180115,10,0
20180115,11,0
20180115,12,0
20180115,13,0
20180115,14,0
20180115,15,0
20180115,16,0
20180115,17,0
20180115,18,0
20180115,19,0
20180115,20,0
20180115,21,0
20180115,22,0
20180115,23,0
20180115,24,0
20180116,1,0
20180116,2,0
20180116,3,0
20180116,4,0
20180116,5,0
20180116,6,0
20180116,7,0
20180116,8,0
20180116,9,0
20180116,10,0
20180116,11,0
20180116,12,0
20180116,13,0
20180116,14,0
20180116,15,0.0*
20180116,16,0.0*
20180116,17,0.0*
20180116,18,0
20180116,19,0
20180116,20,0
20180116,21,0
20180116,22,0
20180116,23,0
20180116,24,0
20180117,1,0
20180117,2,0
20180117,3,0
20180117,4,0
20180117,5,0
20180117,6,0
20180117,7,0
20180117,8,0
20180117,9,0
20180117,10,0
20180117,11,0
20180117,12,0
20180117,13,0
20180117,14,0
20180117,15,0
20180117,16,0
20180117,17,0
20180117,18,0
20180117,19,0
20180117,20,0
20180117,21,0
20180117,22,0
20180117,23,0
20180117,24,0
20180118,1,0
20180118,2,0
20180118,3,0
20180118,4,0.0*
20180118,5,0.0*
20180118,6,0
20180118,7,0
20180118,8,0
20180118,9,0
20180118,10,0
20180118,11,0
20180118,12,0
20180118,13,0
20180118,14,0
20180118,15,0
20180118,16,0
20180118,17,0
20180118,18,0
20180118,19,0
20180118,20,0
20180118,21,0
20180118,22,0
20180118,23,0
20180118,24,0
20180119,1,0
20180119,2,0
20180119,3,0
20180119,4,0
20180119,5,0
20180119,6,0
20180119,7,0.5
20180119,8,0
20180119,9,0.5
20180119,10,0.5
20180119,11,0
20180119,12,0.5
20180119,13,0
20180119,14,0
20180119,15,0
20180119,16,0
20180119,17,0
20180119,18,0
20180119,19,0
20180119,20,0.0*
20180119,21,0
20180119,22,0
20180119,23,0
20180119,24,0
20180120,1,0
20180120,2,0
20180120,3,0
20180120,4,0
20180120,5,0
20180120,6,0
20180120,7,0
20180120,8,0
20180120,9,0
20180120,10,0
20180120,11,0
20180120,12,0.0*
20180120,13,0.0*
20180120,14,0
20180120,15,0
20180120,16,0
20180120,17,0
20180120,18,0
20180120,19,0
20180120,20,0
20180120,21,0
20180120,22,0
20180120,23,0
20180120,24,0
20180121,1,0
20180121,2,0
20180121,3,0
20180121,4,0
20180121,5,0
20180121,6,0
20180121,7,0
20180121,8,0
20180121,9,0
20180121,10,0
20180121,11,0
20180121,12,0
20180121,13,0
20180121,14,0
20180121,15,0
20180121,16,0
20180121,17,0
20180121,18,0
20180121,19,0
20180121,20,0
20180121,21,0
20180121,22,0
20180121,23,0
20180121,24,0
20180122,1,0
20180122,2,0
20180122,3,0
20180122,4,0
20180122,5,0
20180122,6,0
20180122,7,0
20180122,8,0
20180122,9,0.0*
20180122,10,0
20180122,11,0
20180122,12,0
20180122,13,0
20180122,14,0
20180122,15,0
20180122,16,0
20180122,17,0
20180122,18,0
20180122,19,0
20180122,20,0
20180122,21,0
20180122,22,0
20180122,23,0
20180122,24,0
20180123,1,0
20180123,2,0
20180123,3,0
20180123,4,0
20180123,5,0
20180123,6,0
20180123,7,0
20180123,8,0
20180123,9,0
20180123,10,0
20180123,11,0
20180123,12,0
20180123,13,0
20180123,14,0
20180123,15,0
20180123,16,0
20180123,17,0
20180123,18,0
20180123,19,0
20180123,20,0
20180123,21,0
20180123,22,0
20180123,23,0
20180123,24,0
20180124,1,0
20180124,2,0
20180124,3,0
20180124,4,0
20180124,5,0
20180124,6,0
20180124,7,0.0*
20180124,8,0
20180124,9,0
20180124,10,0
20180124,11,0
20180124,12,0
20180124,13,0
20180124,14,0
20180124,15,0
20180124,16,0
20180124,17,0
20180124,18,0
20180124,19,0
20180124,20,0
20180124,21,0
20180124,22,0
20180124,23,0
20180124,24,0
20180125,1,0
20180125,2,0
20180125,3,0
20180125,4,0
20180125,5,0
20180125,6,0
20180125,7,0
20180125,8,0
20180125,9,0
20180125,10,0
20180125,11,0
20180125,12,0
20180125,13,0
20180125,14,0
20180125,15,0
20180125,16,0
20180125,17,0
20180125,18,0
20180125,19,0
20180125,20,0
20180125,21,0
20180125,22,0
20180125,23,0
20180125,24,0
20180126,1,0
20180126,2,0
20180126,3,0
20180126,4,0
20180126,5,0
20180126,6,0
20180126,7,0
20180126,8,0
20180126,9,0
20180126,10,0
20180126,11,0
20180126,12,0
20180126,13,0
20180126,14,0
20180126,15,0
20180126,16,0
20180126,17,0
20180126,18,0
20180126,19,0
20180126,20,0.5
20180126,21,0
20180126,22,0.5
20180126,23,0
20180126,24,0
20180127,1,0
20180127,2,0
20180127,3,0.5
20180127,4,0
20180127,5,0
20180127,6,0
20180127,7,0
20180127,8,0
20180127,9,0
20180127,10,0
20180127,11,0
20180127,12,0
20180127,13,0
20180127,14,0
20180127,15,0
20180127,16,0
20180127,17,0
20180127,18,0
20180127,19,0
20180127,20,0
20180127,21,0
20180127,22,0
20180127,23,0
20180127,24,0
20180128,1,0
20180128,2,0
20180128,3,0
20180128,4,0
20180128,5,0
20180128,6,0
20180128,7,0
20180128,8,0
20180128,9,0
20180128,10,0
20180128,11,0
20180128,12,0
20180128,13,0
20180128,14,0
20180128,15,0
20180128,16,0
20180128,17,0
20180128,18,0
20180128,19,0
20180128,20,0
20180128,21,0
20180128,22,0
20180128,23,0
20180128,24,0
20180129,1,0
20180129,2,0
20180129,3,0
20180129,4,0.5
20180129,5,0
20180129,6,0
20180129,7,0
20180129,8,0
20180129,9,0
20180129,10,0
20180129,11,1
20180129,12,0
20180129,13,0
20180129,14,0
20180129,15,0
20180129,16,0.5
20180129,17,0.5
20180129,18,0.5
20180129,19,0
20180129,20,0
20180129,21,0
20180129,22,0
20180129,23,0
20180129,24,0
20180130,1,0
20180130,2,0.5
20180130,3,0
20180130,4,0
20180130,5,0.5*
20180130,6,0
20180130,7,0
20180130,8,0
20180130,9,0
20180130,10,0
20180130,11,0.5
20180130,12,0
20180130,13,0
20180130,14,0
20180130,15,0
20180130,16,0
20180130,17,0
20180130,18,0
20180130,19,0
20180130,20,0
20180130,21,0
20180130,22,0
20180130,23,0
20180130,24,0.5
20180131,1,2
20180131,2,0.5
20180131,3,0
20180131,4,2.5
20180131,5,0
20180131,6,0
20180131,7,0
20180131,8,2
20180131,9,3
20180131,10,0
20180131,11,0
20180131,12,1
20180131,13,2.5
20180131,14,7.5
20180131,15,0
20180131,16,0
20180131,17,0
20180131,18,0
20180131,19,0
20180131,20,0
20180131,21,0
20180131,22,0
20180131,23,0
20180131,24,0
20180201,1,0
20180201,2,0
20180201,3,0
20180201,4,0
20180201,5,0.0*
20180201,6,0
20180201,7,0
20180201,8,0
20180201,9,0
20180201,10,0
20180201,11,0
20180201,12,0
20180201,13,0
20180201,14,0
20180201,15,0
20180201,16,0
20180201,17,0
20180201,18,0
20180201,19,0
20180201,20,0
20180201,21,0
20180201,22,0
20180201,23,0
20180201,24,0
20180202,1,0
20180202,2,0
20180202,3,0
20180202,4,0
20180202,5,0.0*
20180202,6,0
20180202,7,0
20180202,8,0
20180202,9,0
20180202,10,0
20180202,11,0
20180202,12,0
20180202,13,0
20180202,14,0
20180202,15,0
20180202,16,0
20180202,17,0
20180202,18,0
20180202,19,0
20180202,20,0
20180202,21,0
20180202,22,0
20180202,23,0
20180202,24,0
20180203,1,0
20180203,2,0
20180203,3,0
20180203,4,0
20180203,5,0
20180203,6,0
20180203,7,0
20180203,8,0
20180203,9,0
20180203,10,0
20180203,11,0
20180203,12,0
20180203,13,0
20180203,14,0
20180203,15,0
20180203,16,0
20180203,17,0
20180203,18,0
20180203,19,0
20180203,20,0
20180203,21,0
20180203,22,0
20180203,23,0
20180203,24,0
20180204,1,0
20180204,2,0
20180204,3,0
20180204,4,0
20180204,5,0
20180204,6,0
20180204,7,0
20180204,8,0
20180204,9,0
20180204,10,0
20180204,11,0
20180204,12,0
20180204,13,0
20180204,14,0
20180204,15,0
20180204,16,0
20180204,17,0
20180204,18,0
20180204,19,0
20180204,20,0.0*
20180204,21,0
20180204,22,0
20180204,23,0
20180204,24,0
20180205,1,0
20180205,2,0
20180205,3,0
20180205,4,0
20180205,5,0
20180205,6,0
20180205,7,0
20180205,8,0
20180205,9,0
20180205,10,0
20180205,11,0
20180205,12,0
20180205,13,0
20180205,14,0
20180205,15,0
20180205,16,0
20180205,17,0
20180205,18,0
20180205,19,0
20180205,20,0
20180205,21,0
20180205,22,0
20180205,23,0
20180205,24,0
20180206,1,0
20180206,2,0
20180206,3,0
20180206,4,0
20180206,5,0
20180206,6,0
20180206,7,0
20180206,8,0
20180206,9,0
20180206,10,0
20180206,11,0
20180206,12,0
20180206,13,0
20180206,14,0
20180206,15,0
20180206,16,0
20180206,17,0
20180206,18,0
20180206,19,0
20180206,20,0
20180206,21,0
20180206,22,0
20180206,23,0
20180206,24,0
20180207,1,0
20180207,2,0
20180207,3,0.0*
20180207,4,0.0*
20180207,5,0
20180207,6,0
20180207,7,0
20180207,8,0
20180207,9,0
20180207,10,0
20180207,11,0
20180207,12,0
20180207,13,0
20180207,14,0
20180207,15,0
20180207,16,0
20180207,17,0
20180207,18,0
20180207,19,0
20180207,20,0
20180207,21,0
20180207,22,0
20180207,23,0
20180207,24,0
20180208,1,0
20180208,2,0
20180208,3,0
20180208,4,0
20180208,5,0
20180208,6,0
20180208,7,0
20180208,8,0
20180208,9,0
20180208,10,0
20180208,11,0
20180208,12,0
20180208,13,0
20180208,14,0
20180208,15,0
20180208,16,0
20180208,17,0
20180208,18,0
20180208,19,0
20180208,20,0
20180208,21,0
20180208,22,0
20180208,23,0
20180208,24,0
20180209,1,0
20180209,2,0
20180209,3,0
20180209,4,0
20180209,5,0
20180209,6,0
20180209,7,0
20180209,8,0
20180209,9,0
20180209,10,0
20180209,11,0
20180209,12,0
20180209,13,0
20180209,14,0
20180209,15,0
20180209,16,0
20180209,17,0
20180209,18,0
20180209,19,0
20180209,20,0
20180209,21,0
20180209,22,0
20180209,23,0
20180209,24,0
20180210,1,0
20180210,2,0
20180210,3,0
20180210,4,0
20180210,5,0
20180210,6,0
20180210,7,0
20180210,8,0
20180210,9,0
20180210,10,0
20180210,11,0
20180210,12,0
20180210,13,0
20180210,14,0
20180210,15,0
20180210,16,0
20180210,17,0
20180210,18,0
20180210,19,0
20180210,20,0
20180210,21,0
20180210,22,0
20180210,23,0
20180210,24,0
20180211,1,0
20180211,2,0
20180211,3,0
20180211,4,0
20180211,5,0
20180211,6,0
20180211,7,0
20180211,8,0
20180211,9,0
20180211,10,0
20180211,11,0
20180211,12,0
20180211,13,0
20180211,14,0
20180211,15,0
20180211,16,0
20180211,17,0
20180211,18,0
20180211,19,0
20180211,20,0
20180211,21,0
20180211,22,0
20180211,23,0
20180211,24,0
20180212,1,0
20180212,2,0
20180212,3,0
20180212,4,0
20180212,5,0
20180212,6,0
20180212,7,0
20180212,8,0
20180212,9,0
20180212,10,0
20180212,11,0
20180212,12,0
20180212,13,0
20180212,14,0
20180212,15,0
20180212,16,0
20180212,17,0
20180212,18,0
20180212,19,0
20180212,20,0
20180212,21,0
20180212,22,0
20180212,23,0
20180212,24,0
20180213,1,0
20180213,2,0
20180213,3,0
20180213,4,0
20180213,5,0
20180213,6,0
20180213,7,0
20180213,8,0
20180213,9,0
20180213,10,0
20180213,11,0
20180213,12,0
20180213,13,0
20180213,14,0
20180213,15,0
20180213,16,0
20180213,17,0
20180213,18,0
20180213,19,0
20180213,20,0
20180213,21,0
20180213,22,0
20180213,23,0
20180213,24,0
20180214,1,0
20180214,2,0.0*
20180214,3,0
20180214,4,0.0*
20180214,5,0.0*
20180214,6,0.0*
20180214,7,0.0*
20180214,8,0
20180214,9,0.0*
20180214,10,0
20180214,11,0
20180214,12,0
20180214,13,0
20180214,14,0
20180214,15,0
20180214,16,0
20180214,17,0
20180214,18,0
20180214,19,0
20180214,20,0
20180214,21,0
20180214,22,0.0*
20180214,23,0
