1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 960000005C198521
Is Mission Active?  true
Mission Start:  Wed Apr 13 16:56:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  2690
Total Samples:  5183
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
13/4/2022, 4:56:00 pm,C,20
13/4/2022, 5:11:00 pm,C,20
13/4/2022, 5:26:00 pm,C,20
13/4/2022, 5:41:00 pm,C,20
13/4/2022, 5:56:00 pm,C,20
13/4/2022, 6:11:00 pm,C,20
13/4/2022, 6:26:00 pm,C,20
13/4/2022, 6:41:00 pm,C,20
13/4/2022, 6:56:00 pm,C,20
13/4/2022, 7:11:00 pm,C,20
13/4/2022, 7:26:00 pm,C,20
13/4/2022, 7:41:00 pm,C,20
13/4/2022, 7:56:00 pm,C,20
13/4/2022, 8:11:00 pm,C,20
13/4/2022, 8:26:00 pm,C,20
13/4/2022, 8:41:00 pm,C,20
13/4/2022, 8:56:00 pm,C,20
13/4/2022, 9:11:00 pm,C,20
13/4/2022, 9:26:00 pm,C,20
13/4/2022, 9:41:00 pm,C,20
13/4/2022, 9:56:00 pm,C,20
13/4/2022, 10:11:00 pm,C,20
13/4/2022, 10:26:00 pm,C,20
13/4/2022, 10:41:00 pm,C,20
13/4/2022, 10:56:00 pm,C,20
13/4/2022, 11:11:00 pm,C,20
13/4/2022, 11:26:00 pm,C,20
13/4/2022, 11:41:00 pm,C,20
13/4/2022, 11:56:00 pm,C,20
14/4/2022, 12:11:00 am,C,20
14/4/2022, 12:26:00 am,C,20
14/4/2022, 12:41:00 am,C,20
14/4/2022, 12:56:00 am,C,20
14/4/2022, 1:11:00 am,C,20
14/4/2022, 1:26:00 am,C,20
14/4/2022, 1:41:00 am,C,20
14/4/2022, 1:56:00 am,C,20
14/4/2022, 2:11:00 am,C,20
14/4/2022, 2:26:00 am,C,20
14/4/2022, 2:41:00 am,C,20
14/4/2022, 2:56:00 am,C,20
14/4/2022, 3:11:00 am,C,20
14/4/2022, 3:26:00 am,C,19.5
14/4/2022, 3:41:00 am,C,19.5
14/4/2022, 3:56:00 am,C,19.5
14/4/2022, 4:11:00 am,C,19.5
14/4/2022, 4:26:00 am,C,19.5
14/4/2022, 4:41:00 am,C,19.5
14/4/2022, 4:56:00 am,C,19.5
14/4/2022, 5:11:00 am,C,19.5
14/4/2022, 5:26:00 am,C,19.5
14/4/2022, 5:41:00 am,C,19.5
14/4/2022, 5:56:00 am,C,19.5
14/4/2022, 6:11:00 am,C,19.5
14/4/2022, 6:26:00 am,C,19.5
14/4/2022, 6:41:00 am,C,19.5
14/4/2022, 6:56:00 am,C,19.5
14/4/2022, 7:11:00 am,C,19.5
14/4/2022, 7:26:00 am,C,19.5
14/4/2022, 7:41:00 am,C,19.5
14/4/2022, 7:56:00 am,C,19.5
14/4/2022, 8:11:00 am,C,19.5
14/4/2022, 8:26:00 am,C,19.5
14/4/2022, 8:41:00 am,C,19.5
14/4/2022, 8:56:00 am,C,19.5
14/4/2022, 9:11:00 am,C,19.5
14/4/2022, 9:26:00 am,C,19.5
14/4/2022, 9:41:00 am,C,19.5
14/4/2022, 9:56:00 am,C,19.5
14/4/2022, 10:11:00 am,C,19.5
14/4/2022, 10:26:00 am,C,19.5
14/4/2022, 10:41:00 am,C,19.5
14/4/2022, 10:56:00 am,C,19.5
14/4/2022, 11:11:00 am,C,19.5
14/4/2022, 11:26:00 am,C,19.5
14/4/2022, 11:41:00 am,C,20
14/4/2022, 11:56:00 am,C,20
14/4/2022, 12:11:00 pm,C,20
14/4/2022, 12:26:00 pm,C,20
14/4/2022, 12:41:00 pm,C,20
14/4/2022, 12:56:00 pm,C,20
14/4/2022, 1:11:00 pm,C,20
14/4/2022, 1:26:00 pm,C,20
14/4/2022, 1:41:00 pm,C,20
14/4/2022, 1:56:00 pm,C,20.5
14/4/2022, 2:11:00 pm,C,20.5
14/4/2022, 2:26:00 pm,C,20.5
14/4/2022, 2:41:00 pm,C,20.5
14/4/2022, 2:56:00 pm,C,20.5
