1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8A0000005BFBE521
Is Mission Active?  true
Mission Start:  Fri Sep 16 16:35:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3456
Total Samples:  11723
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/16/22, 4:35:00 PM,C,25.5
9/16/22, 4:50:00 PM,C,25.5
9/16/22, 5:05:00 PM,C,25
9/16/22, 5:20:00 PM,C,25
9/16/22, 5:35:00 PM,C,25
9/16/22, 5:50:00 PM,C,25
9/16/22, 6:05:00 PM,C,24.5
9/16/22, 6:20:00 PM,C,24.5
9/16/22, 6:35:00 PM,C,24.5
9/16/22, 6:50:00 PM,C,24
9/16/22, 7:05:00 PM,C,24
9/16/22, 7:20:00 PM,C,24
9/16/22, 7:35:00 PM,C,24
9/16/22, 7:50:00 PM,C,24
9/16/22, 8:05:00 PM,C,24
9/16/22, 8:20:00 PM,C,24
9/16/22, 8:35:00 PM,C,24
9/16/22, 8:50:00 PM,C,24
9/16/22, 9:05:00 PM,C,23.5
9/16/22, 9:20:00 PM,C,23.5
9/16/22, 9:35:00 PM,C,23.5
9/16/22, 9:50:00 PM,C,23.5
9/16/22, 10:05:00 PM,C,23.5
9/16/22, 10:20:00 PM,C,23.5
9/16/22, 10:35:00 PM,C,23.5
9/16/22, 10:50:00 PM,C,23.5
9/16/22, 11:05:00 PM,C,23.5
9/16/22, 11:20:00 PM,C,23.5
9/16/22, 11:35:00 PM,C,23.5
9/16/22, 11:50:00 PM,C,23
9/17/22, 12:05:00 AM,C,23.5
9/17/22, 12:20:00 AM,C,23
9/17/22, 12:35:00 AM,C,23
9/17/22, 12:50:00 AM,C,23
9/17/22, 1:05:00 AM,C,23
9/17/22, 1:20:00 AM,C,23
9/17/22, 1:35:00 AM,C,23
9/17/22, 1:50:00 AM,C,23
9/17/22, 2:05:00 AM,C,23
9/17/22, 2:20:00 AM,C,23
9/17/22, 2:35:00 AM,C,23
9/17/22, 2:50:00 AM,C,23
9/17/22, 3:05:00 AM,C,23
9/17/22, 3:20:00 AM,C,23
9/17/22, 3:35:00 AM,C,23
9/17/22, 3:50:00 AM,C,23
9/17/22, 4:05:00 AM,C,23
9/17/22, 4:20:00 AM,C,23
9/17/22, 4:35:00 AM,C,23
9/17/22, 4:50:00 AM,C,23
9/17/22, 5:05:00 AM,C,23
9/17/22, 5:20:00 AM,C,23
9/17/22, 5:35:00 AM,C,23
9/17/22, 5:50:00 AM,C,23
9/17/22, 6:05:00 AM,C,23
9/17/22, 6:20:00 AM,C,22.5
9/17/22, 6:35:00 AM,C,22.5
9/17/22, 6:50:00 AM,C,22.5
9/17/22, 7:05:00 AM,C,22.5
9/17/22, 7:20:00 AM,C,22.5
9/17/22, 7:35:00 AM,C,22.5
9/17/22, 7:50:00 AM,C,23
9/17/22, 8:05:00 AM,C,23
9/17/22, 8:20:00 AM,C,23
9/17/22, 8:35:00 AM,C,23
9/17/22, 8:50:00 AM,C,23
9/17/22, 9:05:00 AM,C,23.5
9/17/22, 9:20:00 AM,C,23.5
9/17/22, 9:35:00 AM,C,24
9/17/22, 9:50:00 AM,C,24
9/17/22, 10:05:00 AM,C,24.5
9/17/22, 10:20:00 AM,C,24.5
9/17/22, 10:35:00 AM,C,25
9/17/22, 10:50:00 AM,C,25
9/17/22, 11:05:00 AM,C,25
9/17/22, 11:20:00 AM,C,25.5
9/17/22, 11:35:00 AM,C,25.5
9/17/22, 11:50:00 AM,C,25.5
9/17/22, 12:05:00 PM,C,26
9/17/22, 12:20:00 PM,C,26.5
9/17/22, 12:35:00 PM,C,26.5
9/17/22, 12:50:00 PM,C,26
9/17/22, 1:05:00 PM,C,26
9/17/22, 1:20:00 PM,C,26
9/17/22, 1:35:00 PM,C,27
9/17/22, 1:50:00 PM,C,27.5
9/17/22, 2:05:00 PM,C,27
9/17/22, 2:20:00 PM,C,27
9/17/22, 2:35:00 PM,C,26.5
9/17/22, 2:50:00 PM,C,26.5
9/17/22, 3:05:00 PM,C,26.5
9/17/22, 3:20:00 PM,C,26.5
9/17/22, 3:35:00 PM,C,26
