1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 960000005C198521
Is Mission Active?  true
Mission Start:  Fri Sep 16 16:27:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3457
Total Samples:  11725
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/16/22, 4:27:00 PM,C,23
9/16/22, 4:42:00 PM,C,23
9/16/22, 4:57:00 PM,C,23
9/16/22, 5:12:00 PM,C,23
9/16/22, 5:27:00 PM,C,23
9/16/22, 5:42:00 PM,C,23
9/16/22, 5:57:00 PM,C,23
9/16/22, 6:12:00 PM,C,23
9/16/22, 6:27:00 PM,C,23
9/16/22, 6:42:00 PM,C,23
9/16/22, 6:57:00 PM,C,23
9/16/22, 7:12:00 PM,C,23
9/16/22, 7:27:00 PM,C,23
9/16/22, 7:42:00 PM,C,23
9/16/22, 7:57:00 PM,C,23
9/16/22, 8:12:00 PM,C,23
9/16/22, 8:27:00 PM,C,22.5
9/16/22, 8:42:00 PM,C,23
9/16/22, 8:57:00 PM,C,22.5
9/16/22, 9:12:00 PM,C,22.5
9/16/22, 9:27:00 PM,C,22.5
9/16/22, 9:42:00 PM,C,22.5
9/16/22, 9:57:00 PM,C,22.5
9/16/22, 10:12:00 PM,C,22.5
9/16/22, 10:27:00 PM,C,22.5
9/16/22, 10:42:00 PM,C,22.5
9/16/22, 10:57:00 PM,C,22.5
9/16/22, 11:12:00 PM,C,22.5
9/16/22, 11:27:00 PM,C,22.5
9/16/22, 11:42:00 PM,C,22.5
9/16/22, 11:57:00 PM,C,22.5
9/17/22, 12:12:00 AM,C,22.5
9/17/22, 12:27:00 AM,C,22.5
9/17/22, 12:42:00 AM,C,22.5
9/17/22, 12:57:00 AM,C,22.5
9/17/22, 1:12:00 AM,C,22.5
9/17/22, 1:27:00 AM,C,22.5
9/17/22, 1:42:00 AM,C,22.5
9/17/22, 1:57:00 AM,C,22.5
9/17/22, 2:12:00 AM,C,22.5
9/17/22, 2:27:00 AM,C,22.5
9/17/22, 2:42:00 AM,C,22.5
9/17/22, 2:57:00 AM,C,22.5
9/17/22, 3:12:00 AM,C,22.5
9/17/22, 3:27:00 AM,C,22.5
9/17/22, 3:42:00 AM,C,22.5
9/17/22, 3:57:00 AM,C,22.5
9/17/22, 4:12:00 AM,C,22.5
9/17/22, 4:27:00 AM,C,22.5
9/17/22, 4:42:00 AM,C,22.5
9/17/22, 4:57:00 AM,C,22.5
9/17/22, 5:12:00 AM,C,22.5
9/17/22, 5:27:00 AM,C,22.5
9/17/22, 5:42:00 AM,C,22.5
9/17/22, 5:57:00 AM,C,22.5
9/17/22, 6:12:00 AM,C,22.5
9/17/22, 6:27:00 AM,C,22.5
9/17/22, 6:42:00 AM,C,22.5
9/17/22, 6:57:00 AM,C,22.5
9/17/22, 7:12:00 AM,C,22.5
9/17/22, 7:27:00 AM,C,22.5
9/17/22, 7:42:00 AM,C,22.5
9/17/22, 7:57:00 AM,C,22.5
9/17/22, 8:12:00 AM,C,22.5
9/17/22, 8:27:00 AM,C,22.5
9/17/22, 8:42:00 AM,C,22
9/17/22, 8:57:00 AM,C,22.5
9/17/22, 9:12:00 AM,C,22.5
9/17/22, 9:27:00 AM,C,22.5
9/17/22, 9:42:00 AM,C,22.5
9/17/22, 9:57:00 AM,C,22.5
9/17/22, 10:12:00 AM,C,22.5
9/17/22, 10:27:00 AM,C,22.5
9/17/22, 10:42:00 AM,C,22.5
9/17/22, 10:57:00 AM,C,22.5
9/17/22, 11:12:00 AM,C,22.5
9/17/22, 11:27:00 AM,C,22.5
9/17/22, 11:42:00 AM,C,22.5
9/17/22, 11:57:00 AM,C,22.5
9/17/22, 12:12:00 PM,C,22.5
9/17/22, 12:27:00 PM,C,22.5
9/17/22, 12:42:00 PM,C,23
9/17/22, 12:57:00 PM,C,23
9/17/22, 1:12:00 PM,C,23
9/17/22, 1:27:00 PM,C,23
9/17/22, 1:42:00 PM,C,23
9/17/22, 1:57:00 PM,C,23
9/17/22, 2:12:00 PM,C,23
9/17/22, 2:27:00 PM,C,23
9/17/22, 2:42:00 PM,C,23
9/17/22, 2:57:00 PM,C,23
9/17/22, 3:12:00 PM,C,23
9/17/22, 3:27:00 PM,C,23
9/17/22, 3:42:00 PM,C,23
9/17/22, 3:57:00 PM,C,23
9/17/22, 4:12:00 PM,C,23
9/17/22, 4:27:00 PM,C,23
9/17/22, 4:42:00 PM,C,23
9/17/22, 4:57:00 PM,C,23
9/17/22, 5:12:00 PM,C,23
9/17/22, 5:27:00 PM,C,23
9/17/22, 5:42:00 PM,C,23
9/17/22, 5:57:00 PM,C,23
9/17/22, 6:12:00 PM,C,23
9/17/22, 6:27:00 PM,C,23
9/17/22, 6:42:00 PM,C,23
9/17/22, 6:57:00 PM,C,23
9/17/22, 7:12:00 PM,C,23
9/17/22, 7:27:00 PM,C,23
9/17/22, 7:42:00 PM,C,23
9/17/22, 7:57:00 PM,C,23
9/17/22, 8:12:00 PM,C,23
9/17/22, 8:27:00 PM,C,23
9/17/22, 8:42:00 PM,C,23
9/17/22, 8:57:00 PM,C,23
9/17/22, 9:12:00 PM,C,23
9/17/22, 9:27:00 PM,C,23
9/17/22, 9:42:00 PM,C,23
9/17/22, 9:57:00 PM,C,23
9/17/22, 10:12:00 PM,C,23
9/17/22, 10:27:00 PM,C,23
9/17/22, 10:42:00 PM,C,23
9/17/22, 10:57:00 PM,C,22.5
9/17/22, 11:12:00 PM,C,23
9/17/22, 11:27:00 PM,C,22.5
9/17/22, 11:42:00 PM,C,22.5
9/17/22, 11:57:00 PM,C,22.5
9/18/22, 12:12:00 AM,C,22.5
9/18/22, 12:27:00 AM,C,22.5
9/18/22, 12:42:00 AM,C,22.5
9/18/22, 12:57:00 AM,C,22.5
9/18/22, 1:12:00 AM,C,22.5
9/18/22, 1:27:00 AM,C,22.5
9/18/22, 1:42:00 AM,C,22.5
9/18/22, 1:57:00 AM,C,22.5
9/18/22, 2:12:00 AM,C,22.5
9/18/22, 2:27:00 AM,C,22.5
9/18/22, 2:42:00 AM,C,22.5
9/18/22, 2:57:00 AM,C,22.5
9/18/22, 3:12:00 AM,C,22.5
9/18/22, 3:27:00 AM,C,22.5
9/18/22, 3:42:00 AM,C,22.5
9/18/22, 3:57:00 AM,C,22.5
9/18/22, 4:12:00 AM,C,22.5
9/18/22, 4:27:00 AM,C,22.5
9/18/22, 4:42:00 AM,C,22.5
9/18/22, 4:57:00 AM,C,22.5
9/18/22, 5:12:00 AM,C,22.5
9/18/22, 5:27:00 AM,C,22.5
9/18/22, 5:42:00 AM,C,23
9/18/22, 5:57:00 AM,C,22.5
9/18/22, 6:12:00 AM,C,23
9/18/22, 6:27:00 AM,C,23
9/18/22, 6:42:00 AM,C,23
9/18/22, 6:57:00 AM,C,23
9/18/22, 7:12:00 AM,C,23
9/18/22, 7:27:00 AM,C,23
9/18/22, 7:42:00 AM,C,23
9/18/22, 7:57:00 AM,C,23
9/18/22, 8:12:00 AM,C,23
9/18/22, 8:27:00 AM,C,23
9/18/22, 8:42:00 AM,C,23
9/18/22, 8:57:00 AM,C,23
9/18/22, 9:12:00 AM,C,23
9/18/22, 9:27:00 AM,C,23
